time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T20:23:03.31,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:23:03.31,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:23:03.31,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:23:03.31,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:23:03.31,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:23:03.31,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:23:03.31,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:23:03.31,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:24:58.777,State,1106444,4143929,23.51,0,980,1734,25.59,0,0,0,0
2022-11-08T20:24:58.777,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:24:58.777,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:24:58.777,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:24:58.777,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:24:58.777,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:24:58.777,Greenlee,1150,4669,24.63,0,0,8,0,0,0,0,0
2022-11-08T20:24:58.777,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:24:58.777,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:24:58.777,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:24:58.777,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:24:58.777,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:24:58.777,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:24:58.777,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:24:58.777,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:24:58.777,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:32:12.843,State,1114184,4143929,25.28,0,980,1734,25.59,0,0,0,0
